"Order Date","Customer Name","State","Category","Sub-Category","Product Name","Sales","Quantity","Profit"
"2016-06-17","Ted Butterfield","New York","Office Supplies","Binders","Plastic Binding Combs",48.48,4,16.362
"2016-06-17","Ted Butterfield","New York","Office Supplies","Art","Prang Dustless Chalk Sticks",1.68,1,0.84
"2015-11-24","Kunst Miller","California","Technology","Accessories","Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,6.1512
"2015-11-24","Kunst Miller","California","Office Supplies","Binders","Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6,9.3612
"2015-11-24","Kunst Miller","California","Office Supplies","Paper","Xerox 1943",146.73,3,68.9631
"2015-11-24","Kunst Miller","California","Furniture","Furnishings","Luxo Economy Swing Arm Lamp",79.76,4,22.3328
"2015-04-30","Paul Stevenson","Illinois","Furniture","Chairs","Global Value Mid-Back Manager's Chair, Gray",213.115,5,-15.2225
"2014-12-05","Brendan Sweed","Arizona","Office Supplies","Art","Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8,111.3024
"2014-12-05","Brendan Sweed","Arizona","Technology","Phones","netTALK DUO VoIP Telephone Service",167.968,4,62.988
"2016-06-04","Karen Daniels","Virginia","Office Supplies","Paper","Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2,35.6636
"2016-09-18","Henry MacAllister","New York","Office Supplies","Binders","Avery Binding System Hidden Tab Executive Style Index Sets",4.616,1,1.731
"2017-09-14","Tracy Blumstein","Michigan","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3,8.763
"2015-04-26","Joel Eaton","Tennessee","Furniture","Chairs","High-Back Leather Manager's Chair",831.936,8,-114.3912
"2015-04-26","Joel Eaton","Tennessee","Furniture","Furnishings","Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2,1.213
"2015-04-26","Joel Eaton","Tennessee","Office Supplies","Storage","Safco Industrial Wire Shelving System",72.784,1,-18.196
"2017-12-09","Ken Brennan","Texas","Office Supplies","Binders","Economy Binders",1.248,3,-1.9344
"2017-12-09","Ken Brennan","Texas","Furniture","Furnishings","6"" Cubicle Wall Clock, Black",9.708,3,-5.8248
"2017-12-09","Ken Brennan","Texas","Office Supplies","Storage","SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3,2.724
"2014-11-26","Joel Eaton","Texas","Furniture","Furnishings","Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,-14.475
"2016-06-12","Stewart Carmichael","Alabama","Office Supplies","Appliances","1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1,56.2032
"2016-06-12","Stewart Carmichael","Alabama","Office Supplies","Binders","Avery Heavy-Duty EZD  Binder With Locking Rings",16.74,3,8.0352
"2014-10-12","Duane Noonan","California","Office Supplies","Art","Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,4.172
"2014-10-12","Duane Noonan","California","Office Supplies","Storage","Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,6.2031
"2015-09-03","Julie Creighton","North Carolina","Office Supplies","Envelopes","Jet-Pak Recycled Peel 'N' Seal Padded Mailers",200.984,7,62.8075
"2017-11-13","Christopher Schild","Illinois","Office Supplies","Storage","Safco Industrial Wire Shelving",230.376,3,-48.9549
"2017-05-28","Patrick O'Donnell","South Carolina","Furniture","Chairs","Novimex Swivel Fabric Task Chair",301.96,2,33.2156
"2017-10-26","Paul Gonzalez","Minnesota","Technology","Accessories","Logitech�LS21 Speaker System - PC Multimedia - 2.1-CH - Wired",19.99,1,6.7966
"2017-10-26","Paul Gonzalez","Minnesota","Office Supplies","Labels","Avery 511",6.16,2,2.9568
"2016-04-05","Gary Mitchum","Texas","Office Supplies","Storage","Eldon Portable Mobile Manager",158.368,7,13.8572
"2016-09-17","Jim Sink","California","Office Supplies","Art","Turquoise Lead Holder with Pocket Clip",20.1,3,6.633
"2016-09-17","Jim Sink","California","Technology","Phones","Panasonic Kx-TS550",73.584,2,8.2782
"2016-09-17","Jim Sink","California","Office Supplies","Paper","Xerox 1995",6.48,1,3.1104
"2015-01-31","Karl Braun","Minnesota","Office Supplies","Paper","Xerox 1999",12.96,2,6.2208
"2015-01-31","Karl Braun","Minnesota","Furniture","Furnishings","Seth Thomas 13 1/2"" Wall Clock",53.34,3,16.5354
"2015-01-31","Karl Braun","Minnesota","Office Supplies","Binders","Ibico Standard Transparent Covers",32.96,2,16.1504
"2017-11-06","Roger Barcio","Oregon","Office Supplies","Binders","Flexible Leather- Look Classic Collection Ring Binder",5.682,1,-3.788
"2017-11-09","Parhena Norris","New York","Furniture","Furnishings","9-3/4 Diameter Round Wall Clock",96.53,7,40.5426
"2017-06-17","Katherine Ducich","California","Office Supplies","Binders","Trimflex Flexible Post Binders",51.312,3,17.9592
"2016-09-06","Elpida Rittenbach","Minnesota","Office Supplies","Appliances","Fellowes Basic Home/Office Series Surge Protectors",77.88,6,22.5852
"2016-08-29","Rick Bensley","Illinois","Office Supplies","Paper","Avery Personal Creations Heavyweight Cards",64.624,7,22.6184
"2016-08-29","Rick Bensley","Illinois","Technology","Accessories","SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card",95.976,3,-10.7973
"2016-08-29","Rick Bensley","Illinois","Office Supplies","Binders","Avery Hidden Tab Dividers for Binding Systems",1.788,3,-3.0396
"2016-12-01","Gary Zandusky","Minnesota","Office Supplies","Paper","Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright)",23.92,4,11.7208
"2015-11-13","Lena Cacioppo","Colorado","Technology","Accessories","Logitech K350 2.4Ghz Wireless Keyboard",238.896,6,-26.8758
"2015-11-13","Lena Cacioppo","Colorado","Furniture","Furnishings","Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,3,-3.8385
"2015-11-13","Lena Cacioppo","Colorado","Office Supplies","Binders","Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3,-25.8174
"2017-11-23","Janet Martin","North Carolina","Technology","Accessories","Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive",74.112,8,17.6016
"2017-11-23","Janet Martin","North Carolina","Technology","Phones","Speck Products Candyshell Flip Case",27.992,1,2.0994
"2017-11-23","Janet Martin","North Carolina","Office Supplies","Art","Newell Chalk Holder",3.304,1,1.0738
"2015-10-15","Pete Armstrong","Illinois","Technology","Accessories","Logitech�Gaming G510s - Keyboard",339.96,5,67.992
"2017-12-25","Cynthia Voltz","New York","Furniture","Furnishings","Magnifier Swing Arm Lamp",41.96,2,10.9096
"2016-11-03","Clay Ludtke","Iowa","Office Supplies","Art","Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2,22.788
"2016-11-03","Clay Ludtke","Iowa","Office Supplies","Binders","Avery Durable Plastic 1"" Binders",27.24,6,13.3476
"2014-08-25","Ryan Crowe","Ohio","Office Supplies","Fasteners","OIC Colored Binder Clips, Assorted Sizes",40.096,14,14.5348
"2014-08-25","Ryan Crowe","Ohio","Office Supplies","Envelopes","Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,1.652
"2014-08-25","Ryan Crowe","Ohio","Office Supplies","Paper","Xerox 1921",23.976,3,7.4925
"2014-08-25","Ryan Crowe","Ohio","Office Supplies","Envelopes","Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,6,44.0316
"2015-03-02","Dave Kipp","Washington","Furniture","Tables","Hon Racetrack Conference Tables",787.53,3,165.3813
"2015-04-05","Greg Guthrie","Tennessee","Office Supplies","Binders","GBC DocuBind 300 Electric Binding Machine",157.794,1,-115.7156
"2016-06-12","Steven Cartwright","Delaware","Furniture","Furnishings","Artistic Insta-Plaque",47.04,3,18.3456
"2016-06-12","Steven Cartwright","Delaware","Office Supplies","Binders","DXL Angle-View Binders with Locking Rings by Samsill",30.84,4,13.878
"2016-06-12","Steven Cartwright","Delaware","Office Supplies","Storage","Companion Letter/Legal File, Black",226.56,6,63.4368
"2016-06-12","Steven Cartwright","Delaware","Office Supplies","Envelopes","Globe Weis Peel & Seel First Class Envelopes",115.02,9,51.759
"2016-06-12","Steven Cartwright","Delaware","Technology","Phones","KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7",68.04,7,19.7316
"2014-12-26","Alan Dominguez","Texas","Furniture","Chairs","Global Deluxe High-Back Manager's Chair",600.558,3,-8.5794
"2014-09-20","Philip Fox","Illinois","Furniture","Tables","Bevis 44 x 96 Conference Tables",617.7,6,-407.682
"2017-11-05","Troy Staebel","Arizona","Office Supplies","Binders","Avery Durable Slant Ring Binders, No Labels",2.388,2,-1.8308
"2017-11-05","Troy Staebel","Arizona","Office Supplies","Storage","Trav-L-File Heavy-Duty Shuttle II, Black",243.992,7,30.499
"2016-11-06","Lindsay Shagiari","California","Furniture","Chairs","Global Task Chair, Black",81.424,2,-9.1602
"2016-11-06","Lindsay Shagiari","California","Furniture","Furnishings","Eldon Cleatmat Plus Chair Mats for High Pile Carpets",238.56,3,26.2416
"2017-02-02","Dorothy Wardle","Ohio","Technology","Phones","Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5",59.97,5,-11.994
"2017-02-02","Dorothy Wardle","Ohio","Office Supplies","Paper","Xerox 1916",78.304,2,29.364
"2017-02-02","Dorothy Wardle","Ohio","Office Supplies","Fasteners","Staples",21.456,9,6.9732
"2016-10-13","Lena Creighton","California","Office Supplies","Paper","Xerox 195",20.04,3,9.6192
"2016-10-13","Lena Creighton","California","Office Supplies","Paper","Xerox 1880",35.44,1,16.6568
"2016-10-13","Lena Creighton","California","Office Supplies","Art","Sanford Colorific Colored Pencils, 12/Box",11.52,4,3.456
"2016-10-13","Lena Creighton","California","Office Supplies","Fasteners","Ideal Clamps",4.02,2,1.9698
"2016-10-13","Lena Creighton","California","Office Supplies","Binders","GBC Wire Binding Strips",76.176,3,26.6616
"2016-10-13","Lena Creighton","California","Office Supplies","Supplies","Fiskars Softgrip Scissors",65.88,6,18.4464
"2016-10-13","Lena Creighton","California","Furniture","Furnishings","Longer-Life Soft White Bulbs",43.12,14,20.6976
"2016-09-05","Jonathan Doherty","Pennsylvania","Furniture","Furnishings","Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",82.8,2,10.35
"2017-09-18","Sally Hughsby","California","Office Supplies","Art","Newell 343",8.82,3,2.3814
"2017-09-18","Sally Hughsby","California","Office Supplies","Envelopes","Convenience Packs of Business Envelopes",10.86,3,5.1042
"2017-09-18","Sally Hughsby","California","Office Supplies","Paper","Xerox 1911",143.7,3,68.976
"2017-12-22","Sandra Glassco","Missouri","Office Supplies","Appliances","Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators",839.43,3,218.2518
"2015-09-07","Helen Andreada","California","Office Supplies","Storage","Safco Industrial Wire Shelving",671.93,7,20.1579
"2014-10-22","Maureen Gastineau","Ohio","Furniture","Furnishings","Seth Thomas 14"" Putty-Colored Wall Clock",93.888,4,12.9096
"2016-12-05","Justin Ellison","Wisconsin","Technology","Phones","Plantronics Cordless�Phone Headset�with In-line Volume - M214C",384.45,11,103.8015
"2016-12-05","Justin Ellison","Wisconsin","Technology","Phones","Anker Astro 15000mAh USB Portable Charger",149.97,3,5.9988
"2016-12-05","Justin Ellison","Wisconsin","Furniture","Chairs","Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",1951.84,8,585.552
"2016-12-05","Justin Ellison","Wisconsin","Office Supplies","Binders","GBC Prestige Therm-A-Bind Covers",171.55,5,80.6285
"2016-03-13","Tamara Willingham","Arizona","Office Supplies","Appliances","Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection",157.92,5,17.766
"2016-03-13","Tamara Willingham","Arizona","Technology","Phones","Jabra BIZ 2300 Duo QD Duo Corded�Headset",203.184,2,15.2388
"2015-05-31","Stephanie Phelps","California","Office Supplies","Paper","Southworth 25% Cotton Antique Laid Paper & Envelopes",58.38,7,26.271
"2015-05-31","Stephanie Phelps","California","Office Supplies","Paper","Xerox 1883",105.52,4,48.5392
"2015-05-31","Stephanie Phelps","California","Office Supplies","Storage","Tenex Personal Project File with Scoop Front Design, Black",80.88,6,21.0288
"2015-05-28","Neil Knudson","Washington","Office Supplies","Art","Newell 311",6.63,3,1.7901
"2014-03-01","Dave Brooks","Washington","Furniture","Chairs","Global Deluxe High-Back Manager's Chair",457.568,2,51.4764
"2016-11-20","Nora Paige","Oklahoma","Office Supplies","Labels","Avery 519",14.62,2,6.8714
"2016-11-20","Nora Paige","Oklahoma","Technology","Phones","Avaya 5420 Digital phone",944.93,7,236.2325
"2016-05-11","Ted Trevino","California","Office Supplies","Paper","Xerox 1920",5.98,1,2.691
"2015-12-28","Eric Murdock","Pennsylvania","Technology","Accessories","Lenovo 17-Key USB Numeric Keypad",54.384,2,1.3596
"2016-11-16","Ruben Dartt","New Mexico","Office Supplies","Envelopes","Staple envelope",28.4,5,13.348
"2016-11-07","Max Jones","Washington","Office Supplies","Binders","Wilson Jones International Size A4 Ring Binders",27.68,2,9.688
"2014-09-08","Becky Martin","Texas","Office Supplies","Art","BIC Brite Liner Highlighters",9.936,3,2.7324
"2014-09-08","Becky Martin","Texas","Technology","Machines","Lexmark MX611dhe Monochrome Laser Printer",8159.952,8,-1359.992
"2014-09-08","Becky Martin","Texas","Office Supplies","Storage","Space Solutions HD Industrial Steel Shelving.",275.928,3,-58.6347
"2014-09-08","Becky Martin","Texas","Furniture","Chairs","SAFCO Arco Folding Chair",1740.06,9,-24.858
"2014-09-08","Becky Martin","Texas","Office Supplies","Art","Sanford Liquid Accent Highlighters",32.064,6,6.8136
"2014-09-08","Becky Martin","Texas","Office Supplies","Appliances","Kensington 7 Outlet MasterPiece Power Center",177.98,5,-453.849
"2014-09-08","Becky Martin","Texas","Technology","Phones","JBL Micro Wireless Portable Bluetooth Speaker",143.976,3,8.9985
"2014-08-05","Chad Sievert","California","Office Supplies","Paper","Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6� x 11�",20.94,3,9.8418
"2014-08-05","Chad Sievert","California","Office Supplies","Paper","Xerox 1913",110.96,2,53.2608
"2014-08-05","Chad Sievert","California","Furniture","Chairs","Global Value Steno Chair, Gray",340.144,7,21.259
"2014-09-14","Jennifer Braxton","Illinois","Office Supplies","Appliances","Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center",52.448,2,-131.12
"2014-09-14","Jennifer Braxton","Illinois","Office Supplies","Labels","Avery 51",20.16,4,6.552
"2017-04-21","Shirley Jackson","Texas","Office Supplies","Appliances","Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",97.264,4,-243.16
"2015-11-21","Joel Eaton","Ohio","Furniture","Chairs","Padded Folding Chairs, Black, 4/Carton",396.802,7,-11.3372
"2015-11-21","Joel Eaton","Ohio","Office Supplies","Supplies","Acme Rosewood Handle Letter Opener",15.88,5,-3.7715
"2015-12-15","Jim Kriz","New York","Office Supplies","Art","Sanford Colorific Eraseable Coloring Pencils, 12 Count",3.28,1,1.4104
"2014-12-05","David Kendrick","Illinois","Office Supplies","Storage","Tenex File Box, Personal Filing Tote with Lid, Black",24.816,2,1.8612
"2014-12-05","David Kendrick","Illinois","Technology","Accessories","Imation�Secure+ Hardware Encrypted USB 2.0�Flash Drive; 16GB",408.744,7,76.6395
"2014-11-19","Robert Marley","Louisiana","Technology","Phones","AT&T TR1909W",503.96,4,131.0296
"2014-11-19","Robert Marley","Louisiana","Technology","Phones","Nokia Lumia 521 (T-Mobile)",149.95,5,41.986
"2014-11-19","Robert Marley","Louisiana","Technology","Accessories","HP Standard 104 key PS/2 Keyboard",29,2,7.25
"2016-11-28","Sally Knutson","Connecticut","Office Supplies","Binders","Avery Poly Binder Pockets",7.16,2,3.4368
"2014-08-26","Frank Merwin","California","Technology","Accessories","SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card",176.8,8,22.984
"2016-07-16","Alice McCarthy","Texas","Office Supplies","Storage","Personal Filing Tote with Lid, Black/Gray",37.224,3,3.7224
"2016-07-16","Alice McCarthy","Texas","Office Supplies","Paper","Southworth 25% Cotton Antique Laid Paper & Envelopes",20.016,3,6.255
"2015-10-12","Mark Packer","New York","Furniture","Bookcases","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",899.136,4,112.392
"2015-10-12","Mark Packer","New York","Technology","Phones","I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink",71.76,6,20.0928
"2015-10-12","Mark Packer","New York","Office Supplies","Paper","Xerox 205",51.84,8,24.8832
"2015-10-12","Mark Packer","New York","Furniture","Bookcases","Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",626.352,3,46.9764
"2015-10-12","Mark Packer","New York","Office Supplies","Art","4009 Highlighters by Sanford",19.9,5,6.567
"2015-10-31","Mary Zewe","California","Office Supplies","Envelopes","Poly String Tie Envelopes",14.28,7,6.7116
"2014-03-21","Cassandra Brandow","Ohio","Office Supplies","Art","Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",7.408,2,1.2038
"2014-03-21","Cassandra Brandow","Ohio","Office Supplies","Art","Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",6.048,3,1.5876
"2017-11-06","Valerie Mitchum","New Jersey","Office Supplies","Storage","Decoflex Hanging Personal Folder File",46.26,3,12.0276
"2017-07-06","Fred Hopkins","Pennsylvania","Office Supplies","Binders","Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",2.946,2,-2.2586
"2017-07-06","Fred Hopkins","Pennsylvania","Office Supplies","Paper","Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",16.056,3,5.8203
"2017-06-24","Maria Bertelson","Ohio","Office Supplies","Paper","Southworth 25% Cotton Linen-Finish Paper & Envelopes",21.744,3,6.795
"2014-08-03","Bruce Stewart","Colorado","Furniture","Tables","BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables",218.75,2,-161.875
"2014-08-03","Bruce Stewart","Colorado","Office Supplies","Appliances","Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",2.6,1,0.2925
"2017-12-17","Logan Currie","Texas","Office Supplies","Appliances","Eureka Sanitaire  Commercial Upright",66.284,2,-178.9668
"2017-06-03","Heather Kirkland","Tennessee","Furniture","Furnishings","Eldon 200 Class Desk Accessories, Burgundy",35.168,7,9.6712
"2017-12-09","Laurel Elliston","California","Technology","Phones","Nortel Business Series Terminal T7208 Digital phone",444.768,4,44.4768
"2017-12-01","Joseph Holt","Michigan","Office Supplies","Storage","Tennsco Lockers, Gray",83.92,4,5.8744
"2017-12-01","Joseph Holt","Michigan","Technology","Phones","Panasonic KX-TG6844B Expandable Digital Cordless Telephone",131.98,2,35.6346
"2017-12-01","Joseph Holt","Michigan","Office Supplies","Binders","Avery Durable Slant Ring Binders, No Labels",15.92,4,7.4824
"2017-12-01","Joseph Holt","Michigan","Office Supplies","Fasteners","Advantus Push Pins, Aluminum Head",52.29,9,16.2099
"2017-12-01","Joseph Holt","Michigan","Office Supplies","Storage","Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",91.99,1,3.6796
"2015-02-09","Michael Stewart","Texas","Technology","Accessories","Memorex Micro Travel Drive 8 GB",20.8,2,6.5
"2015-01-02","Victoria Wilson","Ohio","Office Supplies","Labels","Avery 505",23.68,2,8.88
"2015-01-02","Victoria Wilson","Ohio","Furniture","Bookcases","O'Sullivan 2-Door Barrister Bookcase in Odessa Pine",452.45,5,-244.323
"2015-01-02","Victoria Wilson","Ohio","Technology","Phones","Speck Products Candyshell Flip Case",62.982,3,-14.6958
